company_name,ticker,email,context,context_2,company_address,company_phone,company_website,CFO_name
Vox Royalty ,VOXR,info@voxroyalty.com,+1-345-815-3939,,"66 Wellington Street West Suite 5300 TD Bank Tower Box 48 Toronto, ON M5K 1E6 Canada",345 815 3939,https://www.voxroyalty.com,"Mr. Pascal  Attard CA, CPA"
Mama's Creations Inc ,MAMA,MAMA@mzgroup.us,,,"25 Branca Road East Rutherford, NJ 07073 United States",201 531 1212,https://www.mamascreations.com,Mr. Anthony J. Gruber
Oxbridge Re Holdings ,OXBR,jmadhu@oxbridgere.com,Oxbridge Re Holdings Jay Madhu +1 345 749 7570 www.oxbridgere.com,,42 Edward Street Suite 201 PO Box 469 George Town KY1-9006 Cayman Islands,345-749-7570,https://www.oxbridgere.com,Mr. Wrendon  Timothy
Digital Brands Group Inc ,DBGI,invest@digitalbrandsgroup.co,"Digital Brands Group, Inc. Company Contact Hil Davis , CEO Email:  invest@digitalbrandsgroup.co Phone: (800) 593-1047","Digital Brands Group, Inc. Company Contact Hil Davis , CEO Email:  Phone: (800) 593-1047","1400 Lavaca Street Austin, TX 78701 United States",209 651 0172,https://www.digitalbrandsgroup.co,Mr. Reid William Yeoman
IDT Corporation ,IDT,william.ulrey@idt.net,,,"520 Broad Street Newark, NJ 07102 United States",973 438 1000,https://www.idt.net,Mr. Marcelo  Fischer
IDT Corporation ,IDT,suzy.silliman@nrsplus.com,,,"520 Broad Street Newark, NJ 07102 United States",973 438 1000,https://www.idt.net,Mr. Marcelo  Fischer
Dolphin Entertainment Inc ,DLPN,james@haydenir.com,,,"150 Alhambra Circle Suite 1200 Coral Gables, FL 33134 United States",305 774 0407,https://www.dolphinentertainment.com,Ms. Mirta A. Negrini
"BioLargo, Inc. ",BLGO,media@otcmarkets.com,,,"14921 Chestnut Street Westminster, CA 92683 United States",888 400 2863,https://www.biolargo.com,"Mr. Charles K. Dargan II, C.F.A."
"BioLargo, Inc. ",BLGO,conferences@watertowerresearch.com,"Water Tower Research Contact: Timothy M. Regan Chief Revenue Officer Water Tower Research, LLC (978) 505-2478","Water Tower Research Contact: Timothy M. Regan Chief Revenue Officer Water Tower Research, LLC (978) 505-2478","14921 Chestnut Street Westminster, CA 92683 United States",888 400 2863,https://www.biolargo.com,"Mr. Charles K. Dargan II, C.F.A."
"BioLargo, Inc. ",BLGO,johnv@otcmarkets.com,"Virtual Investor Conferences Contact: John M. Viglotti SVP Corporate Services, Investor Access OTC Markets Group  (212) 220-2221","Virtual Investor Conferences Contact: John M. Viglotti SVP Corporate Services, Investor Access OTC Markets Group  (212) 220-2221","14921 Chestnut Street Westminster, CA 92683 United States",888 400 2863,https://www.biolargo.com,"Mr. Charles K. Dargan II, C.F.A."
Intensity Therapeutics ,INTS,ir@portagebiotech.com,Investor Relations:,,"61 Wilton Road 3rd Floor Westport, CT 06880 United States",203 221 7381,https://intensitytherapeutics.com,"Mr. Joseph  Talamo CPA, M.B.A."
Intensity Therapeutics ,INTS,media@portagebiotech.com,Media Relations:,,"61 Wilton Road 3rd Floor Westport, CT 06880 United States",203 221 7381,https://intensitytherapeutics.com,"Mr. Joseph  Talamo CPA, M.B.A."
Assertio Holdings ,ASRT,mkreps@darrowir.com,"The Company will host a group presentation at 4:00 pm Eastern Time, and be available for individual meetings throughout the day. Attending investors interested in meeting with the Company can request a meeting on the conference platform, or contact Assertio investor relations via  . Matt Kreps, Managing Director Darrow Associates M: 214-597-8200 mkreps@darrowir.com","Matt Kreps, Managing Director Darrow Associates M: 214-597-8200","100 South Saunders Road Suite 300 Lake Forest, IL 60045 United States",224 419 7106,https://www.assertiotx.com,Mr. Ajay  Patel
Intensity Therapeutics ,INTS,Justin@coreir.com,Mr. Bender will be available for one-on-one meetings with registered investors of the conference. To schedule a one-on-one meeting please contact  Dean Summers  at LD Micro ( dean@ldmicro.com ) or  Justin Kulik  at  . Investor Relations Contact: Justin Kulik Justin@coreir.com (585) 230 6401,,"61 Wilton Road 3rd Floor Westport, CT 06880 United States",203 221 7381,https://intensitytherapeutics.com,"Mr. Joseph  Talamo CPA, M.B.A."
Intensity Therapeutics ,INTS,julesa@coreir.com,Media Contact: Jules Abraham CORE IR,,"61 Wilton Road 3rd Floor Westport, CT 06880 United States",203 221 7381,https://intensitytherapeutics.com,"Mr. Joseph  Talamo CPA, M.B.A."
Acme United Corporation ,ACU,pdriscoll@acmeunited.com,"Acme United Corporation Paul G. Driscoll, 203-254-6060",,"1 Waterview Drive Suite 200 Shelton, CT 06484 United States",203 254 6060,https://www.acmeunited.com,Mr. Paul G. Driscoll
inTEST Corporation ,INTT,dpawlowski@keiadvisors.com,Investors:  Deborah K. Pawlowski Kei Advisors LLC dpawlowski@keiadvisors.com  Tel: (716) 843-3908,,,,,
"Heritage Global, Inc ",HGBL,InvestorRelations@hginc.com,Investor Relations: John Nesbett/Jennifer Belodeau IMS Investor Relations 203/972.9200,,,,,
Crexendo ,CXDO,,,,"1615 South 52nd Street Tempe, AZ 85281 United States",602 714 8500,https://www.crexendo.com,Mr. Ronald  Vincent
NXT Energy Solutions Inc. ,NSFDF,nxt_info@nxtenergy.com,nxt_info@nxtenergy.com,,"3320 - 17th Avenue Southwest Suite 302 Calgary, AB T3E 0B4 Canada",403 264 7020,https://www.nxtenergy.com,Mr. Eugene  Woychyshyn
Caliber ,CWD,,,,"8901 E Mountain View Road Suite 150 Scottsdale, AZ 85258 United States",480-295-7600,https://www.caliberco.com,Mr. Jade  Leung
Inuvo Inc. ,INUV,wallace.ruiz@inuvo.com,"Inuvo Inc. Enhanced reporting facilitates impactful client conversations and informed decision making regarding audiences across the marketing funnel LITTLE ROCK, Ark., March 19, 2024 (GLOBE NEWSWIRE) -- Inuvo, Inc. (NYSE American: INUV), a leading provider of marketing technology, powered by its proprietary IntentKey artificial intelligence (AI) that serves brands and agencies, has announced significant enhancements to its custom-designed, AI-powered Insights Dashboard, detailing target audience interests and campaign performance. Inuvo’s AI was designed to solve the two biggest problems facing advertisers in a cookieless world: audience targeting and performance measurement. With this update, clients now have the information they need to make better decisions. The enhanced dashboard includes three key sections: Funnel Overview:  This added view illustrates how IntentKey clients build brand awareness to drive users down the conversion funnel over time. It highlights key metrics around brand affinity, site engagement, and conversion, showcasing the customer's path to purchase. These updates allow clients to better understand the differences between audiences at different stages across the marketing conversion funnel. Model Insights:  The interface already provides detailed analytics on audience insights, segments, concept drivers, AI-generated personas, television programming, and conversion likelihood by state. With the latest update, clients can now also see specifically which podcasts align with their audiences. Performance Spend Analysis:  The view instantly provides Inuvo clients the power to predictively measure the impact of campaigns across marketing tactics based on their KPIs. Uniquely, this feature now empowers clients to deploy and measure cookieless versus cookie-based tactics, a capability not available with vendors whose technology requires cookies to function. With advanced Media Mix Modeling (MMM), clients can easily and accurately compare the efficiency of different programmatic tactics across devices including IOS, where cookies are no longer present. Story continues “We are excited to launch the next generation of our Insights Dashboard that arms our clients with unmatched transparency into the true drivers of their campaign performance,” said Inuvo SVP of IntentKey Products, Amir Bakhshaie. “By marrying IntentKey’s predictive AI with enhanced analytics, we can have more impactful conversations that help our clients' campaigns and businesses thrive."" The enhanced dashboard advances Inuvo’s mission of AI-powered audience discovery and delivery of actionable insights to drive performance. Going beyond standard dashboards, the IntentKey Insights Dashboard allows clients to make more informed decisions to boost acquisition and conversion. As one of the first to provide such comprehensive analytics in a cookie-free world, Inuvo is pioneering the future of advertising performance measurement. Reporting from the IntentKey Insights Dashboard is available to all Inuvo clients. To learn more, visit inuvo.com. About Inuvo Inuvo®, Inc. (NYSE American: INUV) is a market leader in Artificial Intelligence built for advertising. Its IntentKey AI solution is a first-of-its-kind proprietary and patented technology capable of identifying and actioning to the reasons why consumers are interested in products, services, or brands, not who those consumers are. To learn more, visit  www.inuvo.com . Safe Harbor / Forward-Looking Statements This press release contains “forward-looking statements” within the meaning of the Private Securities Litigation Reform Act of 1995, including statements regarding Inuvo’s quarter-end financial close process and preparation of financial statements for the quarter that are subject to risks and uncertainties that could cause results to be materially different than expectations. These forward-looking statements are subject to risks and uncertainties that may cause actual results to differ materially, including, without limitation risks detailed from time to time in our filings with the Securities and Exchange Commission (the “SEC”), and represent our views only as of the date they are made and should not be relied upon as representing our views as of any subsequent date. You are urged to carefully review and consider any cautionary statements and other disclosures, including the statements made under the heading ""Risk Factors"" in Inuvo, Inc.'s Annual Report on Form 10-K for the fiscal year ended December 31, 2023 as filed on February 29, 2024, and our other filings with the SEC. Additionally, forward looking statements are subject to certain risks, trends, and uncertainties including the continued impact of Covid-19 on Inuvo’s business and operations. Inuvo cannot provide assurances that the assumptions upon which these forward-looking statements are based will prove to have been correct. Should one of these risks materialize, or should underlying assumptions prove incorrect, actual results may vary materially from those expressed or implied in any forward-looking statements, and investors are cautioned not to place undue reliance on these forward-looking statements, which are current only as of this date. Inuvo does not intend to update or revise any forward-looking statements made herein or any other forward-looking statements as a result of new information, future events or otherwise. Inuvo further expressly disclaims any written or oral statements made by a third party regarding the subject matter of this press release. The information which appears on our websites and our social media platforms is not part of this press release. Inuvo Company Contact:  Wally Ruiz Chief Financial Officer Tel (501) 205-8397 wallace.ruiz@inuvo.com Investor Relations : David Waldman / Natalya Rudman Crescendo Communications, LLC Tel: (212) 671-1020 inuv@crescendo-ir.com",Wally Ruiz  Chief Financial Officer  Tel (501) 205-8397 ,"500 President Clinton Avenue Suite 300 Little Rock, AR 72201 United States",501 205 8508,https://inuvo.com,Mr. Wallace D. Ruiz Sr.
Inuvo Inc. ,INUV,inuv@crescendo-ir.com,"Inuvo Inc. Enhanced reporting facilitates impactful client conversations and informed decision making regarding audiences across the marketing funnel LITTLE ROCK, Ark., March 19, 2024 (GLOBE NEWSWIRE) -- Inuvo, Inc. (NYSE American: INUV), a leading provider of marketing technology, powered by its proprietary IntentKey artificial intelligence (AI) that serves brands and agencies, has announced significant enhancements to its custom-designed, AI-powered Insights Dashboard, detailing target audience interests and campaign performance. Inuvo’s AI was designed to solve the two biggest problems facing advertisers in a cookieless world: audience targeting and performance measurement. With this update, clients now have the information they need to make better decisions. The enhanced dashboard includes three key sections: Funnel Overview:  This added view illustrates how IntentKey clients build brand awareness to drive users down the conversion funnel over time. It highlights key metrics around brand affinity, site engagement, and conversion, showcasing the customer's path to purchase. These updates allow clients to better understand the differences between audiences at different stages across the marketing conversion funnel. Model Insights:  The interface already provides detailed analytics on audience insights, segments, concept drivers, AI-generated personas, television programming, and conversion likelihood by state. With the latest update, clients can now also see specifically which podcasts align with their audiences. Performance Spend Analysis:  The view instantly provides Inuvo clients the power to predictively measure the impact of campaigns across marketing tactics based on their KPIs. Uniquely, this feature now empowers clients to deploy and measure cookieless versus cookie-based tactics, a capability not available with vendors whose technology requires cookies to function. With advanced Media Mix Modeling (MMM), clients can easily and accurately compare the efficiency of different programmatic tactics across devices including IOS, where cookies are no longer present. Story continues “We are excited to launch the next generation of our Insights Dashboard that arms our clients with unmatched transparency into the true drivers of their campaign performance,” said Inuvo SVP of IntentKey Products, Amir Bakhshaie. “By marrying IntentKey’s predictive AI with enhanced analytics, we can have more impactful conversations that help our clients' campaigns and businesses thrive."" The enhanced dashboard advances Inuvo’s mission of AI-powered audience discovery and delivery of actionable insights to drive performance. Going beyond standard dashboards, the IntentKey Insights Dashboard allows clients to make more informed decisions to boost acquisition and conversion. As one of the first to provide such comprehensive analytics in a cookie-free world, Inuvo is pioneering the future of advertising performance measurement. Reporting from the IntentKey Insights Dashboard is available to all Inuvo clients. To learn more, visit inuvo.com. About Inuvo Inuvo®, Inc. (NYSE American: INUV) is a market leader in Artificial Intelligence built for advertising. Its IntentKey AI solution is a first-of-its-kind proprietary and patented technology capable of identifying and actioning to the reasons why consumers are interested in products, services, or brands, not who those consumers are. To learn more, visit  www.inuvo.com . Safe Harbor / Forward-Looking Statements This press release contains “forward-looking statements” within the meaning of the Private Securities Litigation Reform Act of 1995, including statements regarding Inuvo’s quarter-end financial close process and preparation of financial statements for the quarter that are subject to risks and uncertainties that could cause results to be materially different than expectations. These forward-looking statements are subject to risks and uncertainties that may cause actual results to differ materially, including, without limitation risks detailed from time to time in our filings with the Securities and Exchange Commission (the “SEC”), and represent our views only as of the date they are made and should not be relied upon as representing our views as of any subsequent date. You are urged to carefully review and consider any cautionary statements and other disclosures, including the statements made under the heading ""Risk Factors"" in Inuvo, Inc.'s Annual Report on Form 10-K for the fiscal year ended December 31, 2023 as filed on February 29, 2024, and our other filings with the SEC. Additionally, forward looking statements are subject to certain risks, trends, and uncertainties including the continued impact of Covid-19 on Inuvo’s business and operations. Inuvo cannot provide assurances that the assumptions upon which these forward-looking statements are based will prove to have been correct. Should one of these risks materialize, or should underlying assumptions prove incorrect, actual results may vary materially from those expressed or implied in any forward-looking statements, and investors are cautioned not to place undue reliance on these forward-looking statements, which are current only as of this date. Inuvo does not intend to update or revise any forward-looking statements made herein or any other forward-looking statements as a result of new information, future events or otherwise. Inuvo further expressly disclaims any written or oral statements made by a third party regarding the subject matter of this press release. The information which appears on our websites and our social media platforms is not part of this press release. Inuvo Company Contact:  Wally Ruiz Chief Financial Officer Tel (501) 205-8397 wallace.ruiz@inuvo.com Investor Relations : David Waldman / Natalya Rudman Crescendo Communications, LLC Tel: (212) 671-1020 inuv@crescendo-ir.com","Management will also be available for one-on-one meetings with approved qualified investors throughout the conference. To request a meeting with Inuvo, please contact   or Dean Summers at  dean@ldmicro.com . David Waldman / Natalya Rudman  Crescendo Communications, LLC  Tel: (212) 671-1020  inuv@crescendo-ir.com","500 President Clinton Avenue Suite 300 Little Rock, AR 72201 United States",501 205 8508,https://inuvo.com,Mr. Wallace D. Ruiz Sr.
Byrna Technologies ,BYRN,,,,"100 Burtt Road Suite 115 Andover, MA 01810 United States",978 868 5011,https://www.byrna.com,Mr. David R. North
Lexaria Bioscience Corp. ,LEXX,ir@lexariabioscience.com,"George Jurcic - Head of Investor Relations Phone: 250-765-6424, ext 202","George Jurcic - Head of Investor Relations Phone: 250-765-6424, ext 202","740 McCurdy Road Suite 100 Kelowna, BC V1X 2P7 Canada",250 765 6424,https://lexariabioscience.com,Mr. Nelson D. Cabatuan CPA
Foresight Autonomous Holdings Ltd ,FRSX,msegal@ms-ir.com,,,Park HaMada 7 Golda Meir Street Ness Ziona 7403650 Israel,972 7 797 09030,https://www.foresightauto.com,Mr. Eliyahu  Yoresh
Gryphon Digital Mining ,GRYP,Editor@executives-edge.com,"By Karen Roman Gryphon Digital Mining, Inc.  (Nasdaq: GR YP) said  its performance achieved a bitcoin efficiency of 49 BTC/EH in its operational update for March. That equals February’s self-mining outcome, when Gryphon’s score tied 2 nd  and when its peers who release information averaged 44 BTC/EH, it said. Gryphon generated approximately 45 bitcoin coins while establishing a new company milestone for an average self-mining hashing power of 912 PH/s in March, it stated.  The company held 59 bitcoin in treasury by March 31 and the average machine efficiency remained at 28.9 J/T, it added. The company said it purchased a set of Bitmain S21 200 TH/s machines as part of its machine upgrade program. Furthermore, 100% of Scope 1 and Scope 2 of its operations are electrified by zero-carbon emitting Hydro power, it said. “We are delighted to report the beginning of our miner upgrade program as we have purchased a batch of Bitmain S21 200 TH/s miners to replace a portion of our older fleet of machines,” said Rob Chang, Gryphon’s CEO. “ Once fully deployed, this improvement is expected add approximately 23 PH/s to our hashing power and reduce our average fleet efficiency to 28.5 J/T. We expect these machines to be deployed within the next few weeks,” he declared.  In March, Gryphon became the first bitcoin miner to release detailed data on carbon emissions including two annual assessments from CarbonChain, a third-party platform.    Contact: Executives-Edge.com Editor@executives-edge.com",,,,,
Intelligent Bio Solutions Inc ,INBS,info@ibs.inc,Company Contact: Intelligent Bio Solutions Inc. LinkedIn  |  Twitter,Company Contact: Intelligent Bio Solutions Inc. LinkedIn  |  Twitter,"142 West 57th Street 11th Floor New York, NY 10019 United States",(646) 828-8258,https://ibs.inc,"Mr. Spiro Kevin Sakiris B.Bus, C.A., CA, Dip Law"
Intelligent Bio Solutions Inc ,INBS,INBS@kcsa.com,"Management will be available during the event for 1x1 meetings with the investment community. To schedule a meeting please reach out to your LD Micro representative or KCSA Strategic Communications by emailing  . Investor & Media Contact: Valter Pinto, Managing Director KCSA Strategic Communications PH: (212) 896-1254 INBS@kcsa.com","Investor & Media Contact: Valter Pinto, Managing Director KCSA Strategic Communications PH: (212) 896-1254","142 West 57th Street 11th Floor New York, NY 10019 United States",(646) 828-8258,https://ibs.inc,"Mr. Spiro Kevin Sakiris B.Bus, C.A., CA, Dip Law"
Gryphon Digital Mining ,GRYP,,,,"5953 Mabel Road Unit 138 Las Vegas, NV 89110 United States",877 646 3374,https://gryphondigitalmining.com,Mr. Simeon  Salzman
BioStem Technologies ,BSEM,jramson@pcgadvisory.com,"Investor Relations: Jeff Ramson New York, NY 10001 T: 646-863-6893",,"2836 Center Port Circle Pompano Beach, FL 33064 United States",954 380 8342,https://www.biostemtechnologies.com,Mr. Michael  Fortunato CPA
BioStem Technologies ,BSEM,info@biostemtech.com,"BioStem Technologies, Inc. Phone: 954-380-8342 Website:  http://www.biostemtechnologies.com   Email:  Twitter: @BSEM_Tech Facebook: BioStem Technologies",,"2836 Center Port Circle Pompano Beach, FL 33064 United States",954 380 8342,https://www.biostemtechnologies.com,Mr. Michael  Fortunato CPA
Massivit 3D Printing Technologies Ltd ,MSVT.TA,avi@massivit.com,"For additional information, please contact:  Avi Cohen VP Global Sales & Marketing Massivit Email: ",,11 Pesakh Lev Street Lod 7129361 Israel,972 8 651 9486,https://www.massivit3d.com,Mr. Yuval  Cohen
Massivit 3D Printing Technologies Ltd ,MSVT.TA,yafit.sulimani@massivit.com,Yafit Sulimani Senior Marketing Team Leader Massivit Email: ,,11 Pesakh Lev Street Lod 7129361 Israel,972 8 651 9486,https://www.massivit3d.com,Mr. Yuval  Cohen
Yerbae ,YERBF,anaidu@yerbae.com,Andy Naidu Chief of Staff 7187371768 anaidu@yerbae.com https://yerbae.com,,"18801 N Thompson Peak Pkwy Suite D-380 Scottsdale, AZ 85255 United States",480-471-8391,https://yerbae.com,Ms. Karrie  Gibson
Yerbae ,YERBF,todd@yerbae.com,"To reach CEO Todd Gibson,   or 480.471.8391",,"18801 N Thompson Peak Pkwy Suite D-380 Scottsdale, AZ 85255 United States",480-471-8391,https://yerbae.com,Ms. Karrie  Gibson
Yerbae ,YERBF,investors@yerbae.com,"For investors,   or 480.471.8391",,"18801 N Thompson Peak Pkwy Suite D-380 Scottsdale, AZ 85255 United States",480-471-8391,https://yerbae.com,Ms. Karrie  Gibson
Gaia ,GAIA,,,,"833 West South Boulder Road Louisville, CO 80027 United States",303 222 3600,https://www.gaia.com,Mr. Ned  Preston
DDC Enterprise ,DDC,pr@coreir.com,Media: CORE PR Kati Waldenburg,,"Room 1601-1602, 16th Floor Hollywood Center 233 Hollywood Road Sheung Wan Hong Kong",852 2803 0688,https://ir.daydaycook.com,Ms. Shuk Kwan  Lui
DDC Enterprise ,DDC,mattb@coreir.com,Investors: CORE IR Matt Blazei,,"Room 1601-1602, 16th Floor Hollywood Center 233 Hollywood Road Sheung Wan Hong Kong",852 2803 0688,https://ir.daydaycook.com,Ms. Shuk Kwan  Lui
DDC Enterprise ,DDC,bdipalma@yahoofinance.com.,,,"Room 1601-1602, 16th Floor Hollywood Center 233 Hollywood Road Sheung Wan Hong Kong",852 2803 0688,https://ir.daydaycook.com,Ms. Shuk Kwan  Lui
"Citius Pharmaceuticals, Inc. ",CTXR,ir@citiuspharma.com,Ilanit Allen   908-967-6677 x113,Ilanit Allen   908-967-6677 x113,"11 Commerce Drive First Floor Cranford, NJ 07016 United States",908 967 6677,https://citiuspharma.com,Mr. Jaime  Bartushak
"Citius Pharmaceuticals, Inc. ",CTXR,Greg@STiR-communications.com,STiR-communications Greg Salsburg,,"11 Commerce Drive First Floor Cranford, NJ 07016 United States",908 967 6677,https://citiuspharma.com,Mr. Jaime  Bartushak
"Sidus Space, Inc. ",SIDU,sidus@kcsa.com,Investor Relations  Valter Pinto or Jack Perkins KCSA Strategic Communications sidus@kcsa.com  (212) 896-1254,,"150 North Sykes Creek Parkway Suite 200 Merritt Island, FL 32953 United States",321 450 5633,https://www.sidusspace.com,
"Sidus Space, Inc. ",SIDU,press@sidusspace.com,Media Inquiries ,,"150 North Sykes Creek Parkway Suite 200 Merritt Island, FL 32953 United States",321 450 5633,https://www.sidusspace.com,
MAIA Biotech ,MAIA,ir@maiabiotech.com,Investor Relations Contact  +1 (872) 270-3518,Investor Relations Contact  +1 (872) 270-3518,"444 West Lake Street Suite 1700 Chicago, IL 60606 United States",312 416 8592,https://www.MAIABiotech.com,
"TruGolf Holdings, Inc., ",TRUG,trug@trugolf.com,,"TruGolf Inc. Brenner Adams, Chief Growth Officer 801-298-1997","60 North 1400 West Centerville, UT 84014 United States",801-298-1997,https://trugolf.com,Mr. Lindsay  Jones
"TruGolf Holdings, Inc., ",TRUG,laura@franchisewell.com,,,"60 North 1400 West Centerville, UT 84014 United States",801-298-1997,https://trugolf.com,Mr. Lindsay  Jones
"AtlasClear Holdings, Inc. ",ATCH,atlasclearir@icrinc.com,Investors,"A live webcast of the presentation will be available on the AtlasClear Investor Relations website at  https://investors.atlasclear.com  under the ""Events & Presentations"" section and archived for a limited time. If you are interested in meeting with management at this event, please reach out to  Media AtlasClearPR@icrinc.com  Investors atlasclearir@icrinc.com","4030 Henderson Blvd. Suite 712 Tampa, FL 33629 United States",727-446-6660,,Mr. Richard Wright Barber
"AtlasClear Holdings, Inc. ",ATCH,AtlasClearPR@icrinc.com,Media,Media AtlasClearPR@icrinc.com  Investors atlasclearir@icrinc.com,"4030 Henderson Blvd. Suite 712 Tampa, FL 33629 United States",727-446-6660,,Mr. Richard Wright Barber
"Equillium, Inc. ",EQ,ir@equilliumbio.com,"Investor Contact  Michael Moore Vice President, Investor Relations & Corporate Communications 619-302-4431",,"2223 Avenida De La Playa Suite 105 La Jolla, CA 92037 United States",858 240 1200,https://www.equilliumbio.com,Mr. Jason A. Keyes
Huize Holding Limited ,HUIZ,investor@huize.com,Harriet Hu Investor Relations Director +852 28799800 investor@huize.com http://ir.huize.com/,,"Building T1 Qianhai Financial Centre 49th Floor Linhai Avenue,Qianhai Shenzhen-Hong Kong Shenzhen 518000 China",86 755 3689 9088,https://www.huize.com,Mr. Minghan  Xiao
Ideanomics ,IDEX,ir@ideanomics.com, ir@ideanomics.com ,,,,,
Ideanomics ,IDEX,,,,"1441 Broadway Suite 5116 New York, NY 10018 United States",212 206 1216,https://www.ideanomics.com,Mr. Ryan M. Jenkins
HealWell AI ,HWAIF,jamespainter@emergingmarketsllc.com,,,"4881 Yonge Street Suite 300 Toronto, ON M2N 5X3 Canada",,https://www.healwell.ai,Mr. Gerald Scott Nirenberski
La Rosa Holdings Corp ,LRHC,LRHC@crescendo-ir.com,"Investor Relations Contact: Crescendo Communications, LLC David Waldman/Natalya Rudman Tel: (212) 671-1020 Email: ",,"1420 Celebration Blvd Suite 200 2nd Floor Celebration, FL 34747 United States",321-250-1799,https://www.larosarealty.com,Mr. Kent C. Metzroth
La Rosa Holdings Corp ,LRHC,lrhc@crescendo-ir.com,"Management will also be available for one-on-one meetings with approved qualified investors throughout the conference. To request a meeting with La Rosa, please contact   or Dean Summers at  dean@ldmicro.com .",,"1420 Celebration Blvd Suite 200 2nd Floor Celebration, FL 34747 United States",321-250-1799,https://www.larosarealty.com,Mr. Kent C. Metzroth
La Rosa Holdings Corp ,LRHC,info@larosaholdings.com,"For more information, contact: ",,"1420 Celebration Blvd Suite 200 2nd Floor Celebration, FL 34747 United States",321-250-1799,https://www.larosarealty.com,Mr. Kent C. Metzroth
